itinerary_id,part,google_maps_url
22,1,"https://www.google.com/maps/dir/19.0012966,72.8156582/19.000954,72.8160737/18.9935691,72.8146112/18.9959892,72.816053/18.9982973,72.8171576/19.004169,72.8165864/19.0095681,72.819307/19.012771,72.8203423/19.0121347,72.819529/19.0164336,72.8176566/19.0153453,72.817463/19.0150533,72.8171797/19.0150533,72.8171797/19.0147684,72.8175767/19.0179338,72.8173472/19.0187423,72.8171949/19.0182414,72.8187659/19.0173101,72.8192265/19.017364,72.8197311/19.0181319,72.8193279"
22,2,"https://www.google.com/maps/dir/19.0153675,72.8208364/19.0158591,72.8194587/19.0163614,72.8192836/19.0212507,72.8171154/19.0105557,72.8174595/19.0126336,72.8184246/19.0044294,72.8131948/19.0041762,72.8135258/19.0028556,72.8123793/19.0006006,72.8130857/19.0003166,72.8128388/18.9897035,72.8140428/18.990102,72.8157873/18.989862,72.8165569"
23,1,"https://www.google.com/maps/dir/18.9879434,72.8148225/18.9903318,72.8139662/18.9925592,72.8141481/18.9973375,72.8119064/18.9787374,72.8154793/18.9816868,72.8143915/18.9795083,72.8193284/18.9800626,72.8211003/18.9821044,72.8280933/18.9824018,72.8239343/18.9806288,72.8364515/18.9804294,72.8366318/18.9840075,72.8348635/18.9844005,72.8364828/18.9776906,72.8432262/18.9770554,72.8426874/18.9697318,72.8458892/18.9694316,72.8445186/18.9636237,72.845498/18.9605326,72.84589"
23,2,"https://www.google.com/maps/dir/18.9642779,72.8457425/18.9601044,72.8433694/18.9577964,72.8428125"
24,1,"https://www.google.com/maps/dir/18.9573813,72.842575/18.9577605,72.8426796/18.9583355,72.8381939/18.9583155,72.8361559/18.9583063,72.8360656/18.9575806,72.8356113/18.9564467,72.8349011/18.9535701,72.8336792/18.9534417,72.8309195/18.9596341,72.8339402/18.9599555,72.8343594/18.9605643,72.8353742/18.962563,72.8374167/18.9631409,72.8386736/18.9619747,72.8357759/18.960831,72.8324426/18.9599341,72.8318407/18.9583081,72.8386935/18.958823,72.8386604/18.9609229,72.8387842"
24,2,"https://www.google.com/maps/dir/18.9515075,72.8415778/18.9487431,72.840544/18.9487339,72.840433/18.9384981,72.8369561/18.9385023,72.8365508/18.938479,72.8359405/18.9383664,72.8350755/18.9380395,72.8344236/18.9359776,72.8345296/18.9364101,72.8349525/18.9373522,72.8353503/18.9376828,72.8352785/18.938714,72.8347281/18.9354414,72.8334352/18.9303607,72.8313739/18.9302137,72.8326612/18.9307064,72.8319283/18.9313284,72.8331/18.932203,72.8332564/18.9321973,72.8333581"
24,3,"https://www.google.com/maps/dir/18.9321973,72.8333581/18.9329367,72.8334503/18.932388,72.8318345/18.9311664,72.8340587/18.93075,72.8339943/18.9320682,72.8343751/18.9323534,72.8344906/18.9326163,72.8351114/18.9321302,72.8357691/18.9316531,72.8357139/18.9322443,72.8357371/18.9328687,72.8358635/18.9336365,72.8358546/18.9344956,72.837098/18.9350444,72.8369561/18.9349288,72.8363496"
25,1,"https://www.google.com/maps/dir/18.9353063,72.8369626/18.9343405,72.8356633/18.9351977,72.8371909/18.9355057,72.8349367/18.9344689,72.8352175/18.9304466,72.8354926/18.930053,72.8347247/18.9340585,72.8403065/18.9340585,72.8403065/18.9372903,72.8395912/18.9420871,72.8345727/18.9437048,72.8343981/18.9279207,72.8319362/18.9289108,72.8334882/18.9301574,72.8296835/18.9262685,72.8205205/18.9516816,72.8262036/18.9650783,72.8312338/18.9646351,72.8320952"
26,1,"https://www.google.com/maps/dir/18.9963345,72.8372325/19.0062628,72.8380854/19.0017541,72.8383715/19.0004306,72.828597/19.0085697,72.8293386/19.0090309,72.8293708/19.0084688,72.8297935"
27,1,"https://www.google.com/maps/dir/18.986815,72.8138175/18.9798754,72.8547875/18.9803842,72.85465395/18.9819223,72.8569844/18.9815708,72.8585546"
